City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.06,light rain,-9.8,-139.0333,Villa Enata
5,Tezu,IN,73.65,broken clouds,27.9167,96.1667,Circuit House
6,Young,UY,72.23,clear sky,-32.6833,-57.6333,Posada Gira el Sol
7,Puerto Ayora,EC,78.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Butaritari,KI,81.41,few clouds,3.0707,172.7902,Isles Sunset Lodge
9,Sao Filipe,CV,78.73,clear sky,14.8961,-24.4956,Hotel Xaguate
12,Saint George,US,79.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
13,Souillac,MU,73.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
14,Hithadhoo,MV,81.7,broken clouds,-0.6,73.0833,Scoop Guest House
23,Faanui,PF,80.11,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Victoria,HK,72.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
30,Rikitea,PF,75.63,clear sky,-23.1203,-134.9692,People ThankYou
32,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
34,Bandar-E Lengeh,IR,85.51,clear sky,26.5579,54.8807,کافی نت پارس
36,Mindelo,CV,80.15,clear sky,16.8901,-24.9804,Hotel Gaudi
39,Manokwari,ID,79.63,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
41,Karaton,ID,78.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
42,Sakakah,SA,76.82,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
53,Gunjur,GM,80.67,scattered clouds,13.2019,-16.7339,Kuba Lodge
59,Inirida,CO,89.26,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
60,Kieta,PG,80.67,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
64,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
65,Tessalit,ML,87.46,clear sky,20.1986,1.0114,
66,Hilo,US,78.28,moderate rain,19.7297,-155.09,
68,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,
69,Georgetown,MY,78.89,overcast clouds,5.4112,100.3354,
81,Bhan,PK,81.43,clear sky,26.5583,67.7214,
82,Awbari,LY,79.12,clear sky,26.5921,12.7805,
84,Black River,JM,85.98,overcast clouds,18.0264,-77.8487,
85,Bengkulu,ID,75.29,moderate rain,-3.8004,102.2655,
86,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,
87,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,
89,Xalpatlahuac,MX,74.23,overcast clouds,17.4667,-98.6167,
90,Vila Velha,BR,73.33,overcast clouds,-20.3297,-40.2925,
99,Bandarbeyla,SO,77.38,broken clouds,9.4942,50.8122,
100,Kingston,JM,86.16,overcast clouds,17.997,-76.7936,
104,Kapaa,US,80.58,light rain,22.0752,-159.319,
107,Porto Novo,BJ,78.93,light rain,6.4965,2.6036,
112,Mackay,AU,75.04,scattered clouds,-21.15,149.2,
113,Limbang,MY,77.11,overcast clouds,4.75,115.0,
115,Tucuman,AR,82.4,few clouds,-26.8241,-65.2226,
117,Meulaboh,ID,75.96,light rain,4.1363,96.1285,
120,Merauke,ID,76.91,broken clouds,-8.4667,140.3333,
125,Padang,ID,77.83,overcast clouds,-0.9492,100.3543,
128,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,
129,Dingle,PH,75.97,few clouds,10.9995,122.6711,
133,Wahiawa,US,80.92,few clouds,21.5028,-158.0236,
134,Baculin,PH,78.85,overcast clouds,7.4525,126.5842,
135,Morgan City,US,73.99,clear sky,29.6994,-91.2068,
138,Nouadhibou,MR,73.69,clear sky,20.931,-17.0347,
141,Lompoc,US,76.78,broken clouds,34.6391,-120.4579,
143,Isangel,VU,77.41,overcast clouds,-19.55,169.2667,
145,San Gabriel,US,85.93,clear sky,34.0961,-118.1058,
147,Aswan,EG,85.3,clear sky,24.0934,32.907,
