City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,50.11,66,0,23.02,clear sky
1,Atuona,PF,-9.8,-139.0333,78.06,77,81,18.63,light rain
2,Nanortalik,GL,60.1432,-45.2371,36.05,86,97,5.88,overcast clouds
3,Aksum,ET,14.1245,38.7244,58.17,36,24,4.43,few clouds
4,Coquimbo,CL,-29.9533,-71.3436,64.13,63,0,14.97,clear sky
5,Tezu,IN,27.9167,96.1667,73.65,81,51,4.29,broken clouds
6,Young,UY,-32.6833,-57.6333,72.23,47,1,7.4,clear sky
7,Puerto Ayora,EC,-0.7393,-90.3518,78.76,84,96,7.0,light rain
8,Butaritari,KI,3.0707,172.7902,81.41,73,12,12.12,few clouds
9,Sao Filipe,CV,14.8961,-24.4956,78.73,78,0,10.4,clear sky
10,Qaanaaq,GL,77.484,-69.3632,24.48,84,100,9.53,overcast clouds
11,Yellowknife,CA,62.456,-114.3525,36.41,99,100,8.01,overcast clouds
12,Saint George,US,37.1041,-113.5841,79.27,23,1,1.99,clear sky
13,Souillac,MU,-20.5167,57.5167,73.36,77,85,14.81,overcast clouds
14,Hithadhoo,MV,-0.6,73.0833,81.7,79,78,12.84,broken clouds
15,Hobart,AU,-42.8794,147.3294,51.66,80,75,1.99,broken clouds
16,Mataura,NZ,-46.1927,168.8643,49.6,99,100,6.24,overcast clouds
17,Olafsvik,IS,64.8945,-23.7142,35.01,96,100,18.97,light snow
18,Hasaki,JP,35.7333,140.8333,50.4,58,72,20.8,broken clouds
19,Brae,GB,60.3964,-1.353,48.11,75,58,12.1,broken clouds
20,East London,ZA,-33.0153,27.9116,56.91,67,18,15.75,light rain
21,Ushuaia,AR,-54.8,-68.3,45.77,83,100,8.9,overcast clouds
22,Asau,RO,46.4333,26.4,45.95,86,72,3.42,light rain
23,Faanui,PF,-16.4833,-151.75,80.11,78,2,17.0,light rain
24,Victoria,HK,22.2855,114.1577,72.25,79,96,1.01,overcast clouds
25,Dawson Creek,CA,55.7666,-120.2362,35.24,80,90,6.91,overcast clouds
26,Ahipara,NZ,-35.1667,173.1667,61.75,91,22,6.35,few clouds
27,Ngunguru,NZ,-35.6167,174.5,61.16,90,78,5.91,broken clouds
28,Cape Town,ZA,-33.9258,18.4232,57.27,66,0,1.01,clear sky
29,Pevek,RU,69.7008,170.3133,8.58,98,71,2.89,broken clouds
30,Rikitea,PF,-23.1203,-134.9692,75.63,73,8,13.89,clear sky
31,Nyurba,RU,63.2842,118.3319,21.54,77,100,8.32,overcast clouds
32,Saint-Philippe,RE,-21.3585,55.7679,71.15,80,46,14.7,scattered clouds
33,Busselton,AU,-33.65,115.3333,49.05,79,23,7.49,few clouds
34,Bandar-E Lengeh,IR,26.5579,54.8807,85.51,49,0,4.76,clear sky
35,Upernavik,GL,72.7868,-56.1549,23.14,54,100,4.9,overcast clouds
36,Mindelo,CV,16.8901,-24.9804,80.15,65,0,13.8,clear sky
37,Kaitangata,NZ,-46.2817,169.8464,49.68,95,100,5.86,overcast clouds
38,Bethel,US,41.3712,-73.414,63.19,57,20,9.22,few clouds
39,Manokwari,ID,-0.8667,134.0833,79.63,71,89,3.56,overcast clouds
40,Waipawa,NZ,-41.4122,175.5153,57.83,72,5,18.12,clear sky
