City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ponta Do Sol,PT,2021-10-16 01:26:57,32.6667,-17.1,69.71,73,2,2.48
1,Atuona,PF,2021-10-16 01:26:33,-9.8,-139.0333,77.47,80,3,18.41
2,Korla,CN,2021-10-16 01:24:26,41.7597,86.1469,48.04,40,0,5.97
3,Carnarvon,AU,2021-10-16 01:26:43,-24.8667,113.6333,73.47,56,100,12.66
4,Rikitea,PF,2021-10-16 01:26:14,-23.1203,-134.9692,75.29,71,100,3.74
5,Bambous Virieux,MU,2021-10-16 01:27:33,-20.3428,57.7575,71.85,83,40,12.66
6,Ushuaia,AR,2021-10-16 01:26:13,-54.8,-68.3,38.86,87,40,6.91
7,Maniitsoq,GL,2021-10-16 01:27:33,65.4167,-52.9,36.48,64,0,7.56
8,Laguna,US,2021-10-16 01:22:21,38.421,-121.4238,79.3,27,1,4.61
9,Fortuna,US,2021-10-16 01:26:23,40.5982,-124.1573,66.47,69,1,1.01
10,Longyearbyen,SJ,2021-10-16 01:23:57,78.2186,15.6401,26.44,59,75,12.66
11,Port Alfred,ZA,2021-10-16 01:26:23,-33.5906,26.891,61.75,66,100,20.67
12,Yar,RU,2021-10-16 01:27:35,58.249,52.1026,40.39,96,100,14.07
13,Zhigansk,RU,2021-10-16 01:27:35,66.7697,123.3711,13.3,93,100,10.85
14,Skeldon,GY,2021-10-16 01:27:35,5.8833,-57.1333,79.43,84,25,8.08
15,Mount Gambier,AU,2021-10-16 01:21:50,-37.8333,140.7667,54.81,66,100,9.04
16,Vaini,TO,2021-10-16 01:26:10,-21.2,-175.2,77.16,94,75,5.75
17,Hithadhoo,MV,2021-10-16 01:27:36,-0.6,73.0833,82.31,78,100,25.41
18,Ambon,ID,2021-10-16 01:26:53,-3.6954,128.1814,87.94,79,40,4.61
19,Tiznit,MA,2021-10-16 01:27:37,29.5833,-9.5,71.83,34,0,2.06
20,Jinchang,CN,2021-10-16 01:27:37,38.4953,102.1739,40.5,31,83,6.93
21,Bluff,NZ,2021-10-16 01:26:07,-46.6,168.3333,56.53,51,100,0.85
22,Behbahan,IR,2021-10-16 01:27:38,30.5959,50.2417,72.72,19,4,4.65
23,Chuy,UY,2021-10-16 01:26:22,-33.6971,-53.4616,52.9,60,4,13.67
24,May Pen,JM,2021-10-16 01:27:38,17.9645,-77.2451,79.81,87,5,1.57
25,Mataura,NZ,2021-10-16 01:26:11,-46.1927,168.8643,60.04,40,100,4.7
26,New Norfolk,AU,2021-10-16 01:26:11,-42.7826,147.0587,58.71,59,92,4.0
